Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2798871499,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 959,99 ",0.981175,28/08/2024 07:51:59,28/08/2024 08:19:40,20," 2,88 ",0.00," 4,48 ",-,-," 19.568,36 "," 19.572,93 "," 20.057,57 "," 19.079,16 "," 0,00 ",-,CFD,US6311011026,
2798858904,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 499,99 ",0.511055,28/08/2024 07:37:53,28/08/2024 07:48:24,20," 1,50 ",0.00,"(4,41)",-,-," 19.567,36 "," 19.558,73 "," 20.056,44 "," 19.078,18 "," 0,00 ",-,CFD,US6311011026,
2798821783,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 1.600,00 ",1.634081,28/08/2024 06:53:27,28/08/2024 07:33:20,20," 4,80 ",0.00,"(21,31)",-,-," 19.582,87 "," 19.569,83 "," 20.072,65 "," 19.093,30 "," 0,00 ",-,CFD,US6311011026,
2798821013,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 1.499,99 ",1.532459,28/08/2024 06:45:48,28/08/2024 06:52:54,20," 4,50 ",-0.01," 5,15 ",-,-," 19.576,37 "," 19.579,73 "," 19.582,90 "," 19.086,97 "," 0,00 ",-,CFD,US6311011026,
2798816864,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 959,99 ",0.981029,28/08/2024 06:05:41,28/08/2024 06:35:08,20," 2,88 ",0.00," 5,06 ",-,-," 19.571,27 "," 19.576,43 "," 19.576,37 "," 19.081,99 "," 0,00 ",-,CFD,US6311011026,
2798801777,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.051188,28/08/2024 02:04:37,28/08/2024 05:54:41,20," 0,15 ",0.00," 1,46 ",-,-," 19.535,66 "," 19.564,23 "," 20.024,15 "," 19.047,27 "," 0,00 ",-,CFD,US6311011026,
2798801830,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,00 ",0.102377,28/08/2024 02:06:03,28/08/2024 05:54:41,20," 0,30 ",0.00," 2,94 ",-,-," 19.535,56 "," 19.564,23 "," 20.024,05 "," 19.047,17 "," 0,00 ",-,CFD,US6311011026,
2798801764,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 499,99 ",0.511879,28/08/2024 02:04:13,28/08/2024 05:54:41,20," 1,50 ",0.00," 14,52 ",-,-," 19.535,86 "," 19.564,23 "," 20.025,28 "," 19.047,47 "," 0,00 ",-,CFD,US6311011026,
2798689876,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050977,27/08/2024 17:53:45,28/08/2024 05:54:41,20," 0,15 ",0.00,"(2,67)",-,-," 19.616,62 "," 19.564,23 "," 20.107,04 "," 19.126,21 ","(0,27)",-,CFD,US6311011026,
2798710575,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.050996,27/08/2024 18:05:30,28/08/2024 05:54:41,20," 0,15 ",0.00,"(2,29)",-,-," 19.609,12 "," 19.564,23 "," 20.099,35 "," 19.118,89 ","(0,27)",-,CFD,US6311011026,
