Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3092554070,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.088187,04/08/2025 14:29:53,04/08/2025 16:17:57,20," 0,30 ",0.00," 1,06 ",-,-," 23.131,29 "," 23.143,31 "," 23.710,58 "," 22.553,96 "," 0,00 ",-,CFD,US6311011026,
3092552299,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 136,27 ",0.084275,31/07/2025 20:04:27,04/08/2025 14:29:05,20," 0,29 ",0.00,"(8,94)",-,-," 23.236,15 "," 23.130,12 "," 23.319,96 "," 22.200,00 ","(1,91)",-,CFD,US6311011026,
3092252402,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.104148,04/08/2025 13:37:47,04/08/2025 13:38:43,20," 0,36 ",0.00," 0,55 ",-,-," 23.043,79 "," 23.049,07 "," 23.100,00 "," 22.467,69 "," 0,00 ",-,CFD,US6311011026,
3089246664,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 57,98 ",0.041974,01/08/2025 12:46:49,04/08/2025 13:36:48,20," 0,14 ",0.00," 1,21 ",-,-," 23.006,23 "," 23.035,17 "," 34.409,46 "," 22.200,00 ","(0,72)",-,CFD,US6311011026,
3092174359,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 86,11 ",0.062336,01/08/2025 12:46:49,04/08/2025 13:30:29,20," 0,22 ",0.00,"(1,04)",-,-," 23.006,23 "," 22.989,53 "," 34.409,46 "," 22.200,00 ","(1,06)",-,CFD,US6311011026,
3091476261,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,99 ",0.113318,04/08/2025 09:52:55,04/08/2025 12:34:45,20," 0,38 ",0.00," 1,21 ",-,-," 22.944,53 "," 22.955,18 "," 23.517,68 "," 22.370,93 "," 0,00 ",-,CFD,US6311011026,
3091378264,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.104706,04/08/2025 07:34:53,04/08/2025 09:49:26,20," 0,36 ",0.00," 2,40 ",-,-," 22.920,63 "," 22.943,58 "," 34.363,83 "," 22.347,60 "," 0,00 ",-,CFD,US6311011026,
3091227413,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.131102,04/08/2025 06:13:59,04/08/2025 07:33:15,20," 0,46 ",0.00," 3,39 ",-,-," 22.883,63 "," 22.909,48 "," 23.000,00 "," 22.311,56 "," 0,00 ",-,CFD,US6311011026,
3091201182,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.10504,04/08/2025 02:35:42,04/08/2025 05:06:08,20," 0,36 ",0.00," 0,47 ",-,-," 22.847,82 "," 22.852,29 "," 23.419,73 "," 22.277,31 "," 0,00 ",-,CFD,US6311011026,
3090462770,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.08863,01/08/2025 18:36:19,04/08/2025 02:35:14,20," 0,30 ",0.00," 4,93 ",-,-," 22.791,61 "," 22.847,29 "," 33.921,97 "," 22.221,83 ","(1,51)",-,CFD,US6311011026,
3091036817,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.088848,03/08/2025 22:17:40,03/08/2025 22:43:03,20," 0,30 ",0.00," 3,72 ",-,-," 22.735,72 "," 22.777,59 "," 22.800,00 "," 22.167,34 "," 0,00 ",-,CFD,US6311011026,
3090377177,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.131893,01/08/2025 17:34:36,01/08/2025 18:33:52,20," 0,46 ",0.00," 4,05 ",-,-," 22.745,47 "," 22.776,19 "," 23.316,02 "," 22.178,66 "," 0,00 ",-,CFD,US6311011026,
3090358723,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.105579,01/08/2025 17:17:55,01/08/2025 17:34:18,20," 0,36 ",0.00," 1,59 ",-,-," 22.732,40 "," 22.747,49 "," 23.299,85 "," 22.164,11 "," 0,00 ",-,CFD,US6311011026,
3089695149,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 123,26 ",0.105252,01/08/2025 13:47:28,01/08/2025 14:17:14,20," 0,36 ",0.00," 0,94 ",-,-," 22.801,17 "," 22.810,09 "," 22.850,00 "," 22.200,00 "," 0,00 ",-,CFD,US6311011026,
3089233578,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.10457,01/08/2025 12:34:11,01/08/2025 12:37:20,20," 0,36 ",0.00," 4,13 ",-,-," 22.949,23 "," 22.988,68 "," 23.525,83 "," 22.378,23 "," 0,00 ",-,CFD,US6311011026,
3089062260,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.0887,01/08/2025 09:02:27,01/08/2025 12:15:40,20," 0,30 ",0.00,"(0,07)",-,-," 22.998,83 "," 22.998,08 "," 23.572,72 "," 22.423,86 "," 0,00 ",-,CFD,US6311011026,
