Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
17/02/2025 03:48:19,Open Position,NSDQ100/USD," 249,99 ",0.225462," 0,00 "," 4.484,94 "," 2.037,10 ",2943109805,CFD," 0,00 "
17/02/2025 03:48:31,Open Position,NSDQ100/USD," 99,99 ",0.090184," 0,00 "," 4.484,94 "," 1.937,11 ",2943109815,CFD," 0,00 "
17/02/2025 03:50:53,Position closed,NSDQ100/USD," 99,79 ",0.090184,"(0,20)"," 4.484,74 "," 2.036,90 ",2943109815,CFD," 0,00 "
17/02/2025 06:40:37,Position closed,NSDQ100/USD," 251,07 ",0.225462," 1,08 "," 4.485,82 "," 2.287,97 ",2943109805,CFD," 0,00 "
17/02/2025 06:40:50,Open Position,NSDQ100/USD," 270,00 ",0.24341," 0,00 "," 4.485,82 "," 2.017,97 ",2943122797,CFD," 0,00 "
17/02/2025 07:08:46,Position closed,NSDQ100/USD," 251,49 ",0.22546," 1,50 "," 4.487,32 "," 2.269,46 ",2943109316,CFD," 0,00 "
17/02/2025 07:09:16,Open Position,NSDQ100/USD," 299,99 ",0.270438," 0,00 "," 4.487,32 "," 1.969,47 ",2943125521,CFD," 0,00 "
17/02/2025 07:09:29,Open Position,NSDQ100/USD," 249,99 ",0.225369," 0,00 "," 4.487,32 "," 1.719,48 ",2943125543,CFD," 0,00 "
17/02/2025 10:49:44,Open Position,NSDQ100/USD," 99,99 ",0.090207," 0,00 "," 4.487,32 "," 1.619,49 ",2943245056,CFD," 0,00 "
17/02/2025 15:02:52,Position closed,NSDQ100/USD," 103,72 ",0.090207," 3,73 "," 4.491,05 "," 1.723,21 ",2943245056,CFD," 0,00 "
17/02/2025 15:03:05,Position closed,USD/JPY," 103,91 ",3000," 3,92 "," 4.494,97 "," 1.827,12 ",2943109198,CFD," 0,00 "
17/02/2025 15:03:18,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.494,97 "," 1.627,12 ",2943305918,CFD," 0,00 "
17/02/2025 17:25:15,Position closed,USD/JPY," 201,82 ",6000," 1,82 "," 4.496,79 "," 1.828,94 ",2943305918,CFD," 0,00 "
17/02/2025 17:36:57,Open Position,USD/JPY," 150,00 ",4500," 0,00 "," 4.496,79 "," 1.678,94 ",2943425334,CFD," 0,00 "
17/02/2025 18:51:07,Open Position,USD/JPY," 350,00 ",10500," 0,00 "," 4.496,79 "," 1.328,94 ",2943432343,CFD," 0,00 "
17/02/2025 18:51:13,Position closed,USD/JPY," 148,04 ",4500,"(1,96)"," 4.494,83 "," 1.476,98 ",2943425334,CFD," 0,00 "
17/02/2025 23:03:51,Open Position,NSDQ100/USD," 99,99 ",0.090327," 0,00 "," 4.494,83 "," 1.376,99 ",2943446603,CFD," 0,00 "
17/02/2025 23:40:20,Position closed,USD/JPY," 355,00 ",10500," 5,00 "," 4.499,83 "," 1.731,99 ",2943432343,CFD," 0,00 "
17/02/2025 23:51:23,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.499,83 "," 1.531,99 ",2943450179,CFD," 0,00 "
18/02/2025 00:47:54,Overnight refund,Daily," 0,23 ",-," 0,23 "," 4.500,06 "," 1.532,22 ",2941868070,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,02)",-,"(0,02)"," 4.500,04 "," 1.532,20 ",2943072114,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,03)",-,"(0,03)"," 4.500,01 "," 1.532,17 ",2940436584,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,03)",-,"(0,03)"," 4.499,98 "," 1.532,14 ",2941769321,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,05)",-,"(0,05)"," 4.499,93 "," 1.532,09 ",2942722830,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,05)",-,"(0,05)"," 4.499,88 "," 1.532,04 ",2941917933,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,05)",-,"(0,05)"," 4.499,83 "," 1.531,99 ",2942923786,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,07)",-,"(0,07)"," 4.499,76 "," 1.531,92 ",2941867797,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(0,10)",-,"(0,10)"," 4.499,66 "," 1.531,82 ",2941886745,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(1,21)",-,"(1,21)"," 4.498,45 "," 1.530,61 ",2943125543,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(1,30)",-,"(1,30)"," 4.497,15 "," 1.529,31 ",2943122797,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(1,45)",-,"(1,45)"," 4.495,70 "," 1.527,86 ",2943125521,CFD," 0,00 "
18/02/2025 00:47:54,Overnight fee,Daily,"(1,61)",-,"(1,61)"," 4.494,09 "," 1.526,25 ",2943432343,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,02)",-,"(0,02)"," 4.494,07 "," 1.526,23 ",2940436584,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,02)",-,"(0,02)"," 4.494,05 "," 1.526,21 ",2941769321,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,04)",-,"(0,04)"," 4.494,01 "," 1.526,17 ",2941867797,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,06)",-,"(0,06)"," 4.493,95 "," 1.526,11 ",2941886745,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,03)",-,"(0,03)"," 4.493,92 "," 1.526,08 ",2941917933,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,03)",-,"(0,03)"," 4.493,89 "," 1.526,05 ",2942722830,CFD," 0,00 "
18/02/2025 00:53:41,Index price adjustment,NSDQ100/USD,"(0,03)",-,"(0,03)"," 4.493,86 "," 1.526,02 ",2942923786,CFD," 0,00 "
